Master EFIN,count,trans_tech_fee_sum,payout_sum
7021,398,9950.0,5970.0
7022,249,12605.0,10115.0
7023,234,11682.49,9342.49
7024,27,1324.91,1054.91
7025,191,25909.1,23999.1
7041,311,14984.3,11874.3
7044,59,4652.0,4062.0
7214,42,1050.0,630.0
7251,23,1152.73,922.73
7254,5,495.0,445.0
7266,345,34155.0,30705.0
7303,142,3550.0,2130.0
7311,39,975.0,585.0
7312,28,1372.0,1092.0
7316,431,42669.0,38359.0
7317,16,400.0,240.0
7320,16,400.0,240.0
7332,647,16175.0,9705.0
7333,9,225.0,135.0
7357,1,25.0,15.0
7368,208,7280.0,5200.0
7377,479,56262.05,51472.05
7381,209,6590.0,4500.0
7383,5,125.0,75.0
7397,19,475.0,285.0
